event_id,display_date,end_range,sort_year,age_ma,year_ce,nonlinear_time_bin,suggested_nonlinear_coordinate,headline,significance,event_category,knowledge_frame,regional_track,location,reef_system,why_it_matters,source_1_title,source_1_url,source_1_type,source_2_title,source_2_url,source_2_type,confidence,animation_priority,editorial_notes,category,category_group,evidence_type,is_projection,proj_year,proj_pub_year,proj_scenario,proj_quote,proj_quote_note,proj_undated,abstract_agreement,abstract_src,basic_headline,basic_significance,basic_why,basic_links
CR-011,372–359 Ma,to end-Devonian,-372000000,372,,Deep time: >100 Ma,8.570545,Late Devonian reef collapse,"Repeated anoxia, climate and sea-level perturbations eliminate most stromatoporoid–coral reef systems.",Extinction / reef crisis,Geological evidence,Global deep time,Global oceans,Devonian reefs,One of the most severe and prolonged reef crises.,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,"Dishon et al. (2020), Traits enabling scleractinian survival through mass extinctions",https://doi.org/10.1038/s41598-020-60605-2,Primary comparative analysis,High,Core,,Crisis & decline,Reef change,Geological & fossil evidence,,,,,,,,,,Reefs collapse in the Late Devonian,"The sea lost its oxygen again and again, and the climate and sea level kept shifting. Most reef systems built by stromatoporoid sponges and corals were wiped out.",It was one of the most severe and longest lasting reef crises.,"[{""t"": ""What is mass extinction and are we facing a sixth one? | Natural History Museum"", ""u"": ""https://www.nhm.ac.uk/discover/what-is-mass-extinction-and-are-we-facing-a-sixth-one.html"", ""p"": ""Natural History Museum, London"", ""s"": ""Mass extinctions and the gaps they leave in the reef record""}, {""t"": ""Permian extinction | Overview & Facts | Britannica"", ""u"": ""https://www.britannica.com/science/Permian-extinction"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Mass extinctions and the gaps they leave in the reef record""}]"
CR-012,359–323 Ma,to c. 323 Ma,-359000000,359,,Deep time: >100 Ma,8.555097,Early Carboniferous “reef gap”,Large metazoan frameworks remain uncommon; microbial and algal mounds dominate many carbonate settings.,Reef hiatus,Geological evidence,Global deep time,Global,Carboniferous carbonate mounds,Illustrates ecological replacement after a reef crisis.,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,High,Core,,Crisis & decline,Reef change,Geological & fossil evidence,,,,,,,,,,A reef gap opens in the Early Carboniferous,Large reef frameworks built by animals stayed uncommon. Mounds built by microbes and algae were the main structures in many carbonate settings.,It shows one kind of reef builder taking the place of another after a reef crisis.,
CR-013,323–299 Ma,to 299 Ma,-323000000,323,,Deep time: >100 Ma,8.509205,Late Carboniferous reef recovery remains patchy,"Sponges, algae and microbes form localized reef and mound systems under icehouse conditions.",Reef recovery,Geological evidence,Global deep time,Tropical Pangaean shelves,Carboniferous reefs,Reef recovery does not always recreate earlier ecosystems.,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,High,Supporting,,Recovery & resilience,Reef change,Geological & fossil evidence,,,,,,,,,,Reef recovery stays patchy in the Late Carboniferous,"Sponges, algae and microbes built reefs and mounds in scattered places. This happened in a cold icehouse climate.",Reef recovery does not always rebuild the ecosystems that came before.,
CR-014,c. 300–240 Ma (molecular estimate),broad inferred range,-300000000,300,,Deep time: >100 Ma,8.477124,Photosymbiosis may predate the fossil radiation,Phylogenetic analyses infer an older scleractinian ancestry and photosymbiosis long before abundant Triassic fossils.,Scientific finding,Molecular inference,Global deep time,Global,Scleractinian lineage,Separates lineage origin from the first abundant skeletal record.,"Vaga et al. (2025), A global coral phylogeny reveals resilience and vulnerability",https://doi.org/10.1038/s41586-025-09615-6,Primary phylogenetic research,"Stolarski et al. (2011), Ancient evolutionary origins of Scleractinia",https://doi.org/10.1186/1471-2148-11-316,Primary phylogenetic research,Medium,Supporting,,Science & discovery,Knowledge,Genomic & laboratory science,,,,,,,,,,Corals may have partnered with algae earlier than the fossils show,"Scientists studied coral family trees. This work suggests that stony corals, and photosymbiosis, their partnership with tiny algae living inside them, began long before the many Triassic fossils.",It separates when the coral family line began from when their skeletons first became common as fossils.,"[{""t"": ""Corals Tutorial: What is Zooxanthellae?"", ""u"": ""https://oceanservice.noaa.gov/education/tutorial_corals/coral02_zooxanthellae.html"", ""p"": ""NOAA National Ocean Service Education"", ""s"": ""The algae that live inside corals""}, {""t"": ""Corals"", ""u"": ""https://www.aims.gov.au/research-topics/marine-life/corals"", ""p"": ""Australian Institute of Marine Science"", ""s"": ""The algae that live inside corals""}]"
CR-015,299–260 Ma,to c. 260 Ma,-299000000,299,,Deep time: >100 Ma,8.475674,Permian sponge–algal reef expansion,"Diverse sponge, microbial and algal frameworks develop along tropical Pangaean margins.",Geological formation,Geological evidence,Global deep time,Tethyan and Panthalassan margins,Permian reefs,Last major reef systems before Earth’s largest mass extinction.,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Sponge and algal reefs expand in the Permian,"Many different frameworks built by sponges, microbes and algae grew along the tropical edges of the supercontinent Pangaea.",They were the last major reef systems before Earth's largest mass extinction.,
CR-016,252.0 Ma,,-252000000,252,,Deep time: >100 Ma,8.401404,End-Permian mass extinction devastates reefs,The largest Phanerozoic extinction removes Palaeozoic reef builders and collapses carbonate ecosystems.,Extinction / reef crisis,Geological evidence,Global deep time,Global oceans,Permian reefs,The most profound reset in reef history.,"Brayard et al. (2011), Transient metazoan reefs after the end-Permian extinction",https://doi.org/10.1038/ngeo1264,Primary research,"Dishon et al. (2020), Traits enabling scleractinian survival through mass extinctions",https://doi.org/10.1038/s41598-020-60605-2,Primary comparative analysis,High,Core,,Crisis & decline,Reef change,Geological & fossil evidence,,,,,,,,,,The end Permian mass extinction devastates reefs,This was the largest extinction of the Phanerozoic. It removed the reef builders of the Palaeozoic and collapsed the ecosystems that made carbonate rock.,It was the deepest reset in the whole history of reefs.,"[{""t"": ""What is mass extinction and are we facing a sixth one? | Natural History Museum"", ""u"": ""https://www.nhm.ac.uk/discover/what-is-mass-extinction-and-are-we-facing-a-sixth-one.html"", ""p"": ""Natural History Museum, London"", ""s"": ""Mass extinctions and the gaps they leave in the reef record""}, {""t"": ""Permian extinction | Overview & Facts | Britannica"", ""u"": ""https://www.britannica.com/science/Permian-extinction"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Mass extinctions and the gaps they leave in the reef record""}]"
CR-017,251–249 Ma,to c. 249 Ma,-251000000,251,,Deep time: >100 Ma,8.399677,Microbial reefs dominate the immediate aftermath,Microbialites flourish in stressed Early Triassic seas where complex metazoan reefs are largely absent.,Reef recovery,Geological evidence,Global deep time,Tethys and western North America,Early Triassic microbialites,A classic post-extinction ecological simplification.,"Brayard et al. (2011), Transient metazoan reefs after the end-Permian extinction",https://doi.org/10.1038/ngeo1264,Primary research,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Core,,Recovery & resilience,Reef change,Geological & fossil evidence,,,,,,,,,,Microbe built reefs take over straight afterwards,"Microbialites, which are reefs built by microbes, thrived in the stressed seas of the Early Triassic. Complex reefs built by animals were mostly missing.",It is a classic case of an ecosystem becoming much simpler after a mass extinction.,"[{""t"": ""Stromatolite | Fossilized, Microbial Mats | Britannica"", ""u"": ""https://www.britannica.com/science/stromatolite"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Stromatolites and the earliest reef-like life""}]"
CR-018,c. 250.6 Ma,,-250600000,250.6,,Deep time: >100 Ma,8.398985,Unexpectedly early post-Permian metazoan reefs,Small sponge–bivalve reefs show that local complex communities returned sooner than once assumed.,Scientific finding,Geological evidence,Global deep time,Western United States,Early Triassic reefs,Revises the tempo of reef recovery.,"Brayard et al. (2011), Transient metazoan reefs after the end-Permian extinction",https://doi.org/10.1038/ngeo1264,Primary research,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Core,,Science & discovery,Knowledge,Geological & fossil evidence,,,,,,,,,,Animal reefs return sooner than expected after the Permian,Small reefs built by sponges and bivalve shellfish have been found. They show that complex communities came back in some places sooner than people once assumed.,It changes our idea of how fast reefs can recover.,
CR-019,c. 247–242 Ma,to c. 242 Ma,-247000000,247,,Deep time: >100 Ma,8.392701,Middle Triassic reef rebuilding accelerates,"Sponges, microbes and emerging scleractinians re-establish substantial frameworks.",Reef recovery,Geological evidence,Global deep time,Tethys,Middle Triassic reefs,Sets the ecological stage for modern stony corals.,"Stolarski et al. (2011), Ancient evolutionary origins of Scleractinia",https://doi.org/10.1186/1471-2148-11-316,Primary phylogenetic research,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Core,,Recovery & resilience,Reef change,Geological & fossil evidence,,,,,,,,,,Reef rebuilding speeds up in the Middle Triassic,"Sponges, microbes and the first scleractinians, which are stony corals, built large frameworks again.",It set the scene for the modern stony corals.,
CR-020,c. 241–240 Ma,,-241000000,241,,Deep time: >100 Ma,8.382021,Scleractinian corals appear in the fossil record,Modern-style aragonitic stony corals become recognizable in Middle Triassic deposits.,Evolutionary milestone,Geological evidence,Global deep time,Tethyan seas,Scleractinian reefs,Conventional fossil first appearance of the principal modern reef builders.,"Shinzato et al. (2011), Acropora digitifera genome",https://doi.org/10.1038/nature10249,Primary genome paper,"Stolarski et al. (2011), Ancient evolutionary origins of Scleractinia",https://doi.org/10.1186/1471-2148-11-316,Primary phylogenetic research,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Stony corals appear in the fossil record,Stony corals of the modern kind can be recognised in Middle Triassic rocks. Their skeletons are made of a mineral called aragonite.,These fossils are usually taken as the first appearance of the main reef builders of today.,"[{""t"": ""Are corals animals or plants?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral.html"", ""p"": ""NOAA National Ocean Service"", ""s"": ""What a coral animal actually is""}, {""t"": ""Coral Reefs and Corals | Smithsonian Ocean"", ""u"": ""https://ocean.si.edu/ocean-life/invertebrates/corals-and-coral-reefs"", ""p"": ""Smithsonian Ocean"", ""s"": ""What a coral animal actually is""}]"
CR-021,237–201 Ma,to end-Triassic,-237000000,237,,Deep time: >100 Ma,8.374752,Triassic coral–sponge reefs spread,Scleractinians diversify and form increasingly extensive reefs in warm Tethyan seas.,Geological formation,Geological evidence,Global deep time,Tethys and Panthalassa,Triassic coral reefs,First sustained expansion of modern coral-style reefs.,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,"Stolarski et al. (2011), Ancient evolutionary origins of Scleractinia",https://doi.org/10.1186/1471-2148-11-316,Primary phylogenetic research,High,Core,,Origins & evolution,Reef change,Geological & fossil evidence,,,,,,,,,,Coral and sponge reefs spread through the Triassic,Stony corals split into more and more kinds and built larger reefs. This happened in the warm seas of the Tethys.,It was the first lasting spread of reefs built in the modern coral style.,"[{""t"": ""Ocean Through Time | Smithsonian Ocean"", ""u"": ""https://ocean.si.edu/through-time/ocean-through-time"", ""p"": ""Smithsonian Ocean (National Museum of Natural History)"", ""s"": ""Ancient seas and reefs through deep time""}]"
CR-022,201.4 Ma,,-201400000,201.4,,Deep time: >100 Ma,8.304064,End-Triassic extinction causes another reef crisis,"Volcanism, warming and ocean acidification sharply reduce reef building at the Triassic–Jurassic boundary.",Extinction / reef crisis,Geological evidence,Global deep time,Global oceans,Triassic reefs,A major test of scleractinian persistence.,"Dishon et al. (2020), Traits enabling scleractinian survival through mass extinctions",https://doi.org/10.1038/s41598-020-60605-2,Primary comparative analysis,"Quattrini et al. (2020), Palaeoclimate and ocean conditions shaped coral evolution",https://doi.org/10.1038/s41559-020-01291-1,Primary phylogenetic analysis,High,Core,,Crisis & decline,Reef change,Geological & fossil evidence,,,,,,,,,,The end Triassic extinction causes another reef crisis,"Volcanoes, warming and ocean acidification, which makes seawater more acidic, sharply cut reef building. This happened at the boundary between the Triassic and the Jurassic.",It was a major test of whether stony corals could keep going.,"[{""t"": ""What is mass extinction and are we facing a sixth one? | Natural History Museum"", ""u"": ""https://www.nhm.ac.uk/discover/what-is-mass-extinction-and-are-we-facing-a-sixth-one.html"", ""p"": ""Natural History Museum, London"", ""s"": ""Mass extinctions and the gaps they leave in the reef record""}, {""t"": ""Permian extinction | Overview & Facts | Britannica"", ""u"": ""https://www.britannica.com/science/Permian-extinction"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Mass extinctions and the gaps they leave in the reef record""}]"
CR-023,190–160 Ma,to c. 160 Ma,-190000000,190,,Deep time: >100 Ma,8.278758,Jurassic coral reefs recover and expand,Scleractinian frameworks re-establish across warm epicontinental seas.,Reef recovery,Geological evidence,Global deep time,Tethys and Atlantic margins,Jurassic coral reefs,Modern reef builders recover after the end-Triassic crisis.,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,High,Core,,Recovery & resilience,Reef change,Geological & fossil evidence,,,,,,,,,,Coral reefs recover and expand in the Jurassic,Stony corals built their frameworks again across warm seas that spread over the continents.,The modern reef builders recovered after the end Triassic crisis.,"[{""t"": ""Ocean Through Time | Smithsonian Ocean"", ""u"": ""https://ocean.si.edu/through-time/ocean-through-time"", ""p"": ""Smithsonian Ocean (National Museum of Natural History)"", ""s"": ""Ancient seas and reefs through deep time""}]"
CR-024,145–100 Ma,to c. 100 Ma,-145000000,145,,Deep time: >100 Ma,8.161374,Rudist bivalves rival corals as reef builders,"In many Cretaceous seas, rudists replace corals as dominant framework constructors.",Ecological turnover,Geological evidence,Global deep time,"Tethys, Caribbean and Middle East",Cretaceous rudist reefs,Reef habitat persists even when corals are not dominant.,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,"Kiessling et al. (2010), Reefs as cradles of evolution and sources of biodiversity",https://doi.org/10.1126/science.1182241,Primary database analysis,High,Core,,Crisis & decline,Reef change,Geological & fossil evidence,,,,,,,,,,Rudist shellfish rival corals as reef builders,"Rudists were bivalves, shellfish with two shells. In many Cretaceous seas they took the place of corals as the main framework builders.",Reef habitat can carry on even when corals are not the main builders.,
CR-025,120–90 Ma,multiple events,-120000000,120,,Deep time: >100 Ma,8.079189,Ocean-anoxic events repeatedly reorganize reefs,"Greenhouse warming, anoxia and ocean chemistry shifts drive reef turnovers during the mid-Cretaceous.",Extinction / reef crisis,Geological evidence,Global deep time,Global oceans,Cretaceous reefs,A deep-time analogue for multiple interacting stressors.,"Quattrini et al. (2020), Palaeoclimate and ocean conditions shaped coral evolution",https://doi.org/10.1038/s41559-020-01291-1,Primary phylogenetic analysis,"Kiessling (2009), Geologic and biologic controls on the evolution of reefs",https://doi.org/10.1146/annurev.ecolsys.110308.120251,Synthesis,High,Core,,Crisis & decline,Reef change,Geological & fossil evidence,,,,,,,,,,Losses of ocean oxygen keep reorganising reefs,"Greenhouse warming, loss of oxygen in the sea and changes in ocean chemistry kept changing which creatures built reefs. This happened through the middle of the Cretaceous.",It is an example from deep time of several stresses acting together on reefs.,
