event_id,display_date,years_bp,chapter,lane,x_cu,x_norm,years_per_cu_ahead,category,region,confidence,animation_priority,headline
CR-032,5.3–2.6 Ma,5300000.0000,Deep time: 100–2.6 Ma,1,1032.137,0.216109,32631.313535,Origins & evolution,Caribbean / Eastern Pacific,High,Core,Isthmus of Panama separates Atlantic and Pacific reefs
CR-033,c. 3.0 Ma,3000000.0000,Deep time: 100–2.6 Ma,-1,1102.622,0.230867,22568.831070,Origins & evolution,Global deep time,High,Core,Acroporid diversification accelerates
CR-034,2.6 Ma–present,2600000.0000,Deep time: 100–2.6 Ma,1,1120.345,0.234578,10417.038812,Origins & evolution,Global deep time,High,Core,Glacial sea-level cycles repeatedly dismantle and rebuild reefs
CR-035,c. 125 ka,125000.0000,Quaternary: 2.6 Ma–10 ka,-1,1357.937,0.284325,660.911681,"Experiment, method & monitoring",Global deep time,High,Core,Last-interglacial reefs record higher sea level
CR-036,30–19 ka,30000.0000,Quaternary: 2.6 Ma–10 ka,1,1501.677,0.314422,230.814341,Origins & evolution,Global deep time,High,Core,Last Glacial Maximum exposes most modern shelves
CR-037,14–8 ka,14000.0000,Quaternary: 2.6 Ma–10 ka,-1,1570.997,0.328936,96.914634,Origins & evolution,Global deep time,High,Core,Postglacial sea-level rise drives reef drowning and “catch-up” growth
CR-038,c. 8–6 ka,10026.5000,Holocene / pre-1500,1,1611.997,0.337520,100.345646,Origins & evolution,Great Barrier Reef / Coral Sea,High,Core,Modern Great Barrier Reef framework establishes
CR-039,c. 6 ka,8026.5000,Holocene / pre-1500,-1,1631.928,0.341694,58.948565,Origins & evolution,Global deep time,High,Core,Many modern reef flats reach sea level
CR-040,"c. 6,500 years ago",6526.5000,Holocene / pre-1500,1,1657.374,0.347021,38.093851,"People, records & policy",Great Barrier Reef / Coral Sea,High,Core,Documented Indigenous occupation of Great Barrier Reef islands
CR-041,"c. 3,200–2,800 years ago",3226.5000,Holocene / pre-1500,-1,1744.002,0.365160,25.423922,"People, records & policy",Coral Triangle / Western Pacific,High,Core,Lapita communities intensively exploit reef and lagoon resources
CR-042,"c. 3,000–2,000 years ago",3026.5000,Holocene / pre-1500,1,1751.869,0.366807,20.281302,"People, records & policy",Great Barrier Reef / Coral Sea,High,Core,Jiigurru pottery signals Coral Sea maritime networks
CR-043,"c. 2,000–500 years ago",2025.5000,Holocene / pre-1500,-1,1801.225,0.377141,11.970388,"People, records & policy",Caribbean / Florida,High,Core,Pre-Columbian Caribbean reef fisheries leave ecological baselines
CR-044,Before European contact,1026.5000,Holocene / pre-1500,1,1884.681,0.394615,7.151019,"People, records & policy",Coral Triangle / Western Pacific,High,Core,"Customary tenure, rāhui and tabu regulate Pacific reef use"
CR-045,1492–1504,534.5000,Holocene / pre-1500,-1,1953.482,0.409021,2.780488,"People, records & policy",Caribbean / Florida,Medium,Core,European Atlantic voyages encounter Caribbean reefs as hazards and resources
CR-046,1606,420.5000,1500–1799,1,1994.482,0.417605,2.049165,"People, records & policy",Great Barrier Reef / Coral Sea,Medium,Supporting,Torres Strait is navigated by a European expedition
CR-047,1699,327.5000,1500–1799,-1,2039.867,0.427108,2.169146,"People, records & policy",Indian Ocean / Red Sea / Gulf,High,Core,Dampier records north-west Australian coasts and reefs
CR-048,1768–1771,258.5000,1500–1799,1,2071.676,0.433768,0.285714,"People, records & policy",Global / multiple regions,High,Core,Cook expedition combines Pacific navigation and natural history
CR-049,11 June 1770,256.5000,1500–1799,-1,2078.676,0.435234,0.756098,"People, records & policy",Great Barrier Reef / Coral Sea,High,Core,Endeavour strikes the Great Barrier Reef
CR-050,1801–1803,225.5000,1800–1949,1,2119.676,0.443818,1.040421,"People, records & policy",Great Barrier Reef / Coral Sea,Medium,Supporting,Flinders charts passages through the Great Barrier Reef
CR-051,1831–1836,195.5000,1800–1949,-1,2148.511,0.449856,0.570902,Science & discovery,Global / multiple regions,High,Core,Darwin develops the subsidence theory during the Beagle voyage
CR-052,1842,184.5000,1800–1949,1,2167.778,0.453890,0.565636,Science & discovery,Global backbone,High,Core,Darwin publishes a global theory of coral-reef formation
CR-053,1846,180.5000,1800–1949,-1,2174.850,0.455371,0.555455,Science & discovery,Global backbone,High,Core,Dana publishes the first major systematic coral synthesis from a global expedition
CR-054,1868–1870,158.5000,1800–1949,1,2214.457,0.463664,0.544448,"People, records & policy",Deep / cold-water corals,High,Core,Deep-sea dredging reveals abundant cold-water corals
CR-055,1872–1876,154.5000,1800–1949,-1,2221.804,0.465202,0.651273,"People, records & policy",Global / multiple regions,High,Core,HMS Challenger launches systematic global oceanography
CR-056,1880,146.5000,1800–1949,1,2234.088,0.467774,0.142857,Science & discovery,Global backbone,High,Core,Murray proposes an alternative reef-formation theory
CR-057,1881–1883,145.5000,1800–1949,-1,2241.088,0.469240,0.577813,Science & discovery,Global backbone,High,Core,Brandt identifies the coral–algal symbiosis
CR-058,1896–1898,130.5000,1800–1949,1,2267.048,0.474675,0.506757,"Experiment, method & monitoring",Central / Eastern Pacific,High,Core,Funafuti drilling tests rival atoll theories
CR-059,1928–1929,98.5000,1800–1949,-1,2330.194,0.487897,0.285714,"Experiment, method & monitoring",Great Barrier Reef / Coral Sea,High,Core,Great Barrier Reef Expedition creates an integrated reef-research programme
CR-060,1930s,96.5000,1800–1949,1,2337.194,0.489362,0.864485,Science & discovery,Great Barrier Reef / Coral Sea,Medium,Supporting,Coral nutrition and symbiosis become experimental sciences
CR-061,1947–1952,79.5000,1800–1949,-1,2356.859,0.493480,0.195122,"Experiment, method & monitoring",Central / Eastern Pacific,High,Core,Pacific atoll drilling confirms thick reef caps over subsiding volcanoes
CR-062,1955,71.5000,1950–1979,1,2397.859,0.502064,0.224298,"Experiment, method & monitoring",Central / Eastern Pacific,High,Core,Whole-reef metabolism is quantified
CR-063,1959,67.5000,1950–1979,-1,2415.693,0.505798,0.115853,"Experiment, method & monitoring",Caribbean / Florida,High,Core,Photosynthesis is shown to accelerate coral calcification
CR-064,1961–1965,65.5000,1950–1979,1,2432.956,0.509413,0.115050,Crisis & decline,Great Barrier Reef / Coral Sea,Medium,Core,First modern crown-of-thorns outbreaks recorded on the GBR
CR-065,1966,60.5000,1950–1979,-1,2476.415,0.518512,0.114050,"Experiment, method & monitoring",Caribbean / Florida,Medium,Optional,Aquanaut programmes extend direct reef observation
CR-066,1969,57.5000,1950–1979,1,2502.719,0.524020,0.113221,"Experiment, method & monitoring",Global backbone,High,Core,Carbon transfer from zooxanthellae to coral is demonstrated
CR-067,1972,54.5000,1950–1979,-1,2529.216,0.529568,0.112630,"Experiment, method & monitoring",Global backbone,High,Core,Reef community metabolism and nutrient recycling are quantified
CR-068,1973,53.5000,1950–1979,1,2538.095,0.531427,0.240343,Science & discovery,Global backbone,High,Core,Bacteria are recognized as important reef trophic components
CR-069,1975,51.5000,1950–1979,-1,2546.416,0.533169,0.428571,"People, records & policy",Great Barrier Reef / Coral Sea,High,Core,Great Barrier Reef Marine Park Act creates a vast management framework
CR-070,1978,48.5000,1950–1979,1,2553.416,0.534635,0.142857,Science & discovery,Global backbone,High,Core,Intermediate-disturbance theory places reefs at the centre of ecological debate
CR-071,1979–1980,47.5000,1950–1979,-1,2560.416,0.536101,0.000000,Bleaching & heat stress,Global / multiple regions,Medium,Core,Modern mass-bleaching observations enter the scientific record
CR-072,1979,47.5000,1950–1979,1,2567.416,0.537566,0.048780,"People, records & policy",Caribbean / Florida,High,Supporting,Bonaire National Marine Park is established
CR-073,1981,45.5000,1980–1997,-1,2608.416,0.546151,0.000000,"People, records & policy",Great Barrier Reef / Coral Sea,High,Core,Great Barrier Reef is inscribed as World Heritage
CR-074,1981–1983,45.5000,1980–1997,1,2615.416,0.547617,0.142857,Science & discovery,Great Barrier Reef / Coral Sea,High,Core,Synchronous multi-species coral spawning is discovered
CR-075,1982–1983,44.5000,1980–1997,-1,2622.416,0.549082,0.000000,Bleaching & heat stress,Central / Eastern Pacific,High,Core,Strong El Niño causes catastrophic eastern-Pacific bleaching and mortality
CR-076,1982–1985,44.5000,1980–1997,1,2629.416,0.550548,0.000000,Crisis & decline,Caribbean / Florida,High,Core,White-band disease drives Caribbean Acropora collapse
CR-077,1982,44.5000,1980–1997,-1,2636.416,0.552013,0.142857,"People, records & policy",Coral Triangle / Western Pacific,High,Supporting,Apo Island community establishes a no-take marine sanctuary
CR-078,1983–1984,43.5000,1980–1997,1,2643.416,0.553479,0.083683,Crisis & decline,Caribbean / Florida,High,Core,Diadema mass mortality sweeps the Caribbean
CR-079,1985,41.5000,1980–1997,-1,2667.316,0.558483,0.055084,"People, records & policy",Global backbone,High,Core,Stony corals enter international wildlife-trade regulation
CR-080,1986,40.5000,1980–1997,1,2685.470,0.562284,0.054959,"Experiment, method & monitoring",Great Barrier Reef / Coral Sea,High,Core,AIMS Long-Term Monitoring Program begins
CR-081,1987–1988,39.5000,1980–1997,-1,2703.666,0.566094,0.058417,"Experiment, method & monitoring",Great Barrier Reef / Coral Sea,High,Core,Coral transplantation is tested as a management tool
CR-082,1990,36.5000,1980–1997,1,2755.021,0.576847,0.000000,"Experiment, method & monitoring",Central / Eastern Pacific,High,Core,Controlled heating establishes species and regional differences in thermal tolerance
CR-083,16-Nov-90,36.5000,1980–1997,-1,2762.021,0.578313,0.067194,"People, records & policy",Caribbean / Florida,High,Supporting,Florida Keys National Marine Sanctuary is designated
CR-084,1991,35.5000,1980–1997,1,2776.903,0.581429,0.054244,Science & discovery,Global backbone,High,Core,Molecular tools reveal hidden diversity in coral symbionts
CR-085,1992,34.5000,1980–1997,-1,2795.339,0.585289,0.063391,Science & discovery,Caribbean / Florida,High,Core,Genetics overturns a single-species view of a dominant Caribbean coral
CR-086,1995,31.5000,1980–1997,1,2842.664,0.595198,0.000000,"Experiment, method & monitoring",Caribbean / Florida,High,Core,Caribbean bleaching becomes a symbiont “natural experiment”
CR-087,1995–1997,31.5000,1980–1997,-1,2849.664,0.596663,0.285714,"Experiment, method & monitoring",Global backbone,Medium,Core,Satellite heat-stress metrics become operational for reefs
CR-088,1997–1998,29.5000,1980–1997,1,2856.664,0.598129,0.024390,Bleaching & heat stress,Global backbone,High,Core,First global mass coral bleaching event
CR-089,1998,28.5000,1998–2013,-1,2897.664,0.606714,0.000000,Bleaching & heat stress,Indian Ocean / Red Sea / Gulf,High,Core,Indian Ocean reefs suffer exceptional mortality
CR-090,1998,28.5000,1998–2013,1,2904.664,0.608179,0.000000,Bleaching & heat stress,Great Barrier Reef / Coral Sea,High,Core,Great Barrier Reef records its first modern mass bleaching
CR-091,1998–2000,28.5000,1998–2013,-1,2911.664,0.609645,0.129894,"Experiment, method & monitoring",Global backbone,High,Core,Global Coral Reef Monitoring Network consolidates post-bleaching reporting
CR-092,1999,27.5000,1998–2013,1,2919.362,0.611257,0.000000,"Experiment, method & monitoring",Global backbone,High,Core,Experiments identify photosystem damage as a bleaching mechanism
CR-093,1999,27.5000,1998–2013,-1,2926.362,0.612722,0.034984,Science & discovery,Global backbone,High,Core,Climate projections warn that annual bleaching could become commonplace
CR-094,2000,26.5000,1998–2013,1,2954.947,0.618707,0.031080,"Experiment, method & monitoring",Indian Ocean / Red Sea / Gulf,High,Core,Solar exposure history is shown to shape bleaching susceptibility
CR-095,2001,25.5000,1998–2013,-1,2987.122,0.625444,0.034757,"Experiment, method & monitoring",Caribbean / Florida,High,Core,“Adaptive bleaching” hypothesis is tested with transplants
CR-096,2002,24.5000,1998–2013,1,3015.892,0.631468,0.000000,Bleaching & heat stress,Great Barrier Reef / Coral Sea,High,Core,Second major Great Barrier Reef mass bleaching event
CR-097,2002,24.5000,1998–2013,-1,3022.892,0.632934,0.034633,Science & discovery,Global backbone,High,Core,Coral-associated bacterial communities are mapped with molecular methods
CR-098,2003,23.5000,1998–2013,1,3051.767,0.638980,0.034499,Science & discovery,Global backbone,High,Core,Reef resilience framework links climate change and local human pressure
CR-099,2004,22.5000,1998–2013,-1,3080.753,0.645049,0.000000,Science & discovery,Coral Triangle / Western Pacific,High,Core,Thermally adapted symbionts are linked to greater coral heat tolerance
CR-100,2004,22.5000,1998–2013,1,3087.753,0.646514,0.034356,"People, records & policy",Great Barrier Reef / Coral Sea,High,Core,Great Barrier Reef rezoning greatly expands no-take protection
CR-101,2005,21.5000,1998–2013,-1,3116.860,0.652609,0.038854,Bleaching & heat stress,Caribbean / Florida,High,Core,Record Caribbean thermal stress and bleaching
CR-102,2006,20.5000,1998–2013,1,3142.597,0.657998,0.000000,"People, records & policy",Caribbean / Florida,High,Core,Elkhorn and staghorn corals receive U.S. Endangered Species Act protection
CR-103,2006,20.5000,1998–2013,-1,3149.597,0.659463,0.000000,Science & discovery,Deep / cold-water corals,High,Core,Deep cold-water coral reefs become a mainstream conservation issue
CR-104,2006,20.5000,1998–2013,1,3156.597,0.660929,0.033948,"Experiment, method & monitoring",Caribbean / Florida,High,Core,Fishing experiments reveal herbivore-driven trophic cascades
CR-105,2008,18.5000,1998–2013,-1,3215.510,0.673264,0.033666,Science & discovery,Global backbone,High,Core,Global assessment finds one-third of reef-building corals at elevated extinction risk
CR-106,2009–2011,17.5000,1998–2013,1,3245.213,0.679483,0.000000,"Experiment, method & monitoring",Coral Triangle / Western Pacific,High,Core,Natural CO2 seeps show how acidification restructures reefs
CR-107,15-May-09,17.5000,1998–2013,-1,3252.213,0.680949,0.043688,"People, records & policy",Coral Triangle / Western Pacific,High,Supporting,Coral Triangle Initiative launches regional political cooperation
CR-108,2010,16.5000,1998–2013,1,3275.103,0.685742,0.000000,Bleaching & heat stress,Global backbone,High,Core,Second global mass coral bleaching event
CR-109,2010,16.5000,1998–2013,-1,3282.103,0.687207,0.000000,Bleaching & heat stress,Coral Triangle / Western Pacific,High,Core,Southeast Asia and the Andaman Sea experience severe bleaching
CR-110,2010,16.5000,1998–2013,1,3289.103,0.688673,0.043298,"People, records & policy",Indian Ocean / Red Sea / Gulf,High,Supporting,United Kingdom declares the Chagos Marine Protected Area
CR-111,2011,15.5000,1998–2013,-1,3312.199,0.693509,0.000000,Science & discovery,Coral Triangle / Western Pacific,High,Core,First reef-coral genome is published
CR-112,2011,15.5000,1998–2013,1,3319.199,0.694975,0.047635,Bleaching & heat stress,Indian Ocean / Red Sea / Gulf,High,Core,Western Australia marine heatwave causes unprecedented reef loss
CR-113,2012,14.5000,1998–2013,-1,3340.192,0.699370,0.000000,Science & discovery,Great Barrier Reef / Coral Sea,High,Core,"GBR monitoring attributes long decline to cyclones, crown-of-thorns and bleaching"
CR-114,2012,14.5000,1998–2013,1,3347.192,0.700836,0.142857,"Experiment, method & monitoring",Global / multiple regions,High,Core,Panoramic reef-imaging programmes create a visual baseline
CR-115,2013,13.5000,1998–2013,-1,3354.192,0.702301,0.024390,Science & discovery,Global backbone,High,Core,Meta-analysis consolidates ocean-acidification effects across taxa
CR-116,2014,12.5000,2014–2026,1,3395.192,0.710886,0.000000,Science & discovery,Global backbone,High,Core,Assisted evolution is proposed as an explicit reef-intervention strategy
CR-117,2014–2017,12.5000,2014–2026,-1,3402.192,0.712352,0.000000,Bleaching & heat stress,Global backbone,High,Core,Third global mass coral bleaching event
CR-118,2014,12.5000,2014–2026,1,3409.192,0.713817,0.032524,"Experiment, method & monitoring",Coral Triangle / Western Pacific,High,Core,Genomic and physiological work maps heat-resistant coral populations
CR-119,2015,11.5000,2014–2026,-1,3439.939,0.720255,0.000000,Science & discovery,Great Barrier Reef / Coral Sea,High,Core,Reciprocal and genomic studies show heat tolerance is partly heritable
CR-120,2015,11.5000,2014–2026,1,3446.939,0.721721,0.000000,"Experiment, method & monitoring",Global backbone,High,Supporting,ReFuGe 2020 coordinates coral genomic resources
CR-121,2015–2016,11.5000,2014–2026,-1,3453.939,0.723186,0.024206,"Experiment, method & monitoring",Central / Eastern Pacific,High,Core,Kiritimati heatwave becomes a prolonged natural experiment
CR-122,2016,10.5000,2014–2026,1,3495.251,0.731837,0.000000,Bleaching & heat stress,Great Barrier Reef / Coral Sea,High,Core,Great Barrier Reef suffers unprecedented northern mass bleaching
CR-123,2016,10.5000,2014–2026,-1,3502.251,0.733302,0.000000,Bleaching & heat stress,Indian Ocean / Red Sea / Gulf,High,Core,Western Australian thermally extreme reefs bleach at regional scale
CR-124,2016,10.5000,2014–2026,1,3509.251,0.734768,0.000000,Science & discovery,Global backbone,High,Core,Global “bright spots” analysis identifies unexpectedly successful reefs
CR-125,2016–2017,10.5000,2014–2026,-1,3516.251,0.736233,0.022103,Crisis & decline,Caribbean / Florida,High,Core,Stony coral tissue loss disease emerges as a Caribbean crisis
CR-126,2017,9.5000,2014–2026,1,3561.494,0.745707,0.000000,Bleaching & heat stress,Great Barrier Reef / Coral Sea,High,Core,Back-to-back bleaching strikes the central Great Barrier Reef
CR-127,2017,9.5000,2014–2026,-1,3568.494,0.747172,0.020306,"Experiment, method & monitoring",Caribbean / Florida,High,Core,Larval “seeding” demonstrates a lower-cost restoration pathway
CR-128,2018,8.5000,2014–2026,1,3617.740,0.757483,0.000000,Science & discovery,Global backbone,High,Core,Mass bleaching becomes five times more frequent than in the early 1980s
CR-129,2018,8.5000,2014–2026,-1,3624.740,0.758949,0.000000,Science & discovery,Global backbone,High,Core,Reef accretion models warn many reefs may fail to track sea-level rise
CR-130,2018–2020,8.5000,2014–2026,1,3631.740,0.760415,0.021580,Science & discovery,Deep / cold-water corals,High,Supporting,Mesophotic reefs are tested—and limited—as climate refuges
CR-131,2019,7.5000,2014–2026,-1,3678.080,0.770117,0.000000,Science & discovery,Global backbone,High,Core,Global analysis maps two decades of bleaching patterns
CR-132,2019,7.5000,2014–2026,1,3685.080,0.771583,0.000000,Science & discovery,Great Barrier Reef / Coral Sea,High,Core,Recruitment collapse is documented after repeated GBR bleaching
CR-133,2019,7.5000,2014–2026,-1,3692.080,0.773049,0.021252,"Experiment, method & monitoring",Atlantic / Africa,High,Core,Coral probiotics show experimental protection from heat stress
CR-134,2020,6.5000,2014–2026,1,3739.134,0.782901,0.000000,Bleaching & heat stress,Great Barrier Reef / Coral Sea,High,Core,Great Barrier Reef experiences its third mass bleaching in five years
CR-135,2020,6.5000,2014–2026,-1,3746.134,0.784366,0.000000,"Experiment, method & monitoring",Great Barrier Reef / Coral Sea,High,Core,Laboratory evolution of symbionts increases coral heat tolerance
CR-136,2020–2024,6.5000,2014–2026,1,3753.134,0.785832,0.019446,"Experiment, method & monitoring",Great Barrier Reef / Coral Sea,High,Supporting,ReefCloud and related platforms automate benthic-image analysis
CR-137,2021,5.5000,2014–2026,-1,3804.559,0.796600,0.000000,Science & discovery,Global backbone,High,Core,Global monitoring estimates 14% coral loss from 2009 to 2018
CR-138,2021,5.5000,2014–2026,1,3811.559,0.798065,0.017852,"Experiment, method & monitoring",Global backbone,High,Core,Allen Coral Atlas produces global high-resolution reef habitat maps
CR-139,2022,4.5000,2014–2026,-1,3867.576,0.809794,0.000000,Bleaching & heat stress,Great Barrier Reef / Coral Sea,High,Core,GBR mass bleaching occurs during La Niña
CR-140,2022,4.5000,2014–2026,1,3874.576,0.811260,0.018546,"Experiment, method & monitoring",Central / Eastern Pacific,High,Supporting,Thermal stress is linked to productive viral infection in coral symbionts
CR-141,2023,3.5000,2014–2026,-1,3928.497,0.822550,0.000000,Bleaching & heat stress,Caribbean / Florida,High,Core,Unprecedented Florida Keys heat triggers emergency coral rescue
CR-142,2023,3.5000,2014–2026,1,3935.497,0.824015,0.000000,Bleaching & heat stress,Global backbone,High,Core,Fourth global bleaching event begins
CR-143,2023,3.5000,2014–2026,-1,3942.497,0.825481,0.019122,Science & discovery,Deep / cold-water corals,High,Supporting,Deep-sea origin analysis reframes coral bathymetric evolution
CR-144,2024,2.5000,2014–2026,1,3994.793,0.836431,0.000000,Bleaching & heat stress,Great Barrier Reef / Coral Sea,High,Core,Great Barrier Reef records its largest bleaching footprint
CR-145,2024,2.5000,2014–2026,-1,4001.793,0.837896,0.000000,"Experiment, method & monitoring",Global / multiple regions,High,Supporting,Coral Sea and global reef monitoring scale up during an active mass event
CR-146,Apr-24,2.5000,2014–2026,1,4008.793,0.839362,0.024433,Bleaching & heat stress,Global backbone,High,Core,NOAA and ICRI declare the fourth global bleaching event
CR-147,2025,1.5000,2014–2026,-1,4049.721,0.847932,0.000000,Bleaching & heat stress,Global backbone,High,Core,Fourth global event becomes the largest on record
CR-148,2025,1.5000,2014–2026,1,4056.721,0.849397,0.000000,Bleaching & heat stress,Great Barrier Reef / Coral Sea,High,Core,Consecutive mass bleaching returns to the Great Barrier Reef
CR-149,2025,1.5000,2014–2026,-1,4063.721,0.850863,0.000000,Bleaching & heat stress,Indian Ocean / Red Sea / Gulf,High,Core,"Western Australia experiences extraordinary, widespread bleaching"
CR-150,2025,1.5000,2014–2026,1,4070.721,0.852329,0.000000,Science & discovery,Great Barrier Reef / Coral Sea,High,Core,AIMS reports sharp coral-cover declines after the 2024 GBR event
CR-151,2025,1.5000,2014–2026,-1,4077.721,0.853794,0.000000,Science & discovery,Global backbone,High,Core,Largest global coral phylogeny rewrites deep-time origins
CR-152,30-Sep-25,1.5000,2014–2026,1,4084.721,0.855260,0.000000,Bleaching & heat stress,Global backbone,High,Core,Bleaching-level heat exposure stops expanding globally
CR-153,2025–2026,1.5000,2014–2026,-1,4091.721,0.856726,0.019271,"Experiment, method & monitoring",Global backbone,High,Supporting,Computer-vision reef datasets accelerate automated monitoring
CR-154,2-Jun-26,0.5000,2014–2026,1,4143.614,0.867591,0.055098,"Experiment, method & monitoring",Global backbone,High,Core,NOAA says the fourth global bleaching event likely ended in 2025
PJ-001,2030,-3.5000,Projected: 2027–2100,-1,4216.211,0.882791,0.082014,"People, records & policy",Global / multiple regions,High,Core,IPCC finds conservation alone cannot protect reefs beyond 2030
PJ-002,2034,-7.5000,Projected: 2027–2100,1,4264.984,0.893003,0.114884,Bleaching & heat stress,Global / multiple regions,High,Core,99% of reefs pass the five-yearly severe bleaching threshold by 2034 under high emissions
PJ-003,2040,-13.5000,Projected: 2027–2100,-1,4317.210,0.903938,0.162175,Crisis & decline,Caribbean / Florida,High,Core,Most western Atlantic reefs turn from building to eroding by 2040
